"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Aldiss, Brian W. (Brian Wilson)","1925-2017","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","005589097","Monograph","Language material ; Text","Volume","GB7510870","","9780552097482","The inner landscape","Boy in darkness ; Danger, religion! ; The voices of time","Corgi SF collector's library","","England","London","Corgi","1975","","187 pages, 18 cm","823.91","","Short stories in English, 1900---Texts ; Short stories, English","","English","This collection originally published: London : Allison and Busby, 1969",""
"Aldiss, Brian W. (Brian Wilson)","1925-2017","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","008110984","Monograph","Language material ; Text","Volume","GB6911830","","9780850310054","The inner landscape","","","","England","London","Allison & Busby","1969","","151 pages","823.91","YA.1996.a.1507","Science fiction","","English","Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956",""
"Aldiss, Brian W. (Brian Wilson)","1925-2017","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","011584454","Monograph","Language material ; Text","Volume","GB7023429","","9780552085007","The inner landscape","Boy in darkness ; Danger: religion! ; Voices of time","","","England","London","Corgi","1970","","190 pages, 18 cm","823.91","","","","English","Contents: Peake, Mervyn. Boy in darkness. Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956. - Ballard, James Graham. The voices of time. - Aldiss, Brian Wilson. Danger: religion! ; Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956 ; Originally published (B69-11830), London: Allison & Busby, 1969",""
"Amaya, Mario","","person","editor","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Atwood, Margaret Eleanor, Canadian author","1939-","person","correspondent","Jolley, Monica Elizabeth, writer, 1923-2007 [correspondent] ; Manning, Olivia Mary, author, 1908-1980 [correspondent] ; Wilson, John Burgess, author and critic; pseudonym Anthony Burgess, 1917-1993 [correspondent] ; Howard, Marghanita, née Laski; writer and critic, 1915-1988 [correspondent] ; Jordan, Neil, filmmaker and novelist, 1950 [correspondent] ; Zinnemann, Frederick, Austrian-American film director, 1907-1997 [correspondent] ; Ballard, James Graham, writer, 1930-2009 [correspondent] ; Berger, John Peter, author and art critic, 1926-2017 [correspondent]","038-000000818","SubSubSeries. Archives and Manuscripts","","","","ark:/81055/vdc_100000000061.0x000113","","Angela Carter Papers: General correspondence of Angela Carter 1-2","","","","","","","1970-1992, nd","","2 files","","Western Manuscripts. Add MS 88899/3/1-2","","","English","General correspondence. Mostly typewritten and signed. Including letters from Margaret Atwood, J. G. Ballard, John Berger, Anthony Burgess, Elizabeth Jolley, Neil Jordan, Marghanita Laski, Olivia Manning, and Fred Zinnemann",""
"Ballard, J. G. (James Graham)","1930-2009","person","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","005589097","Monograph","Language material ; Text","Volume","GB7510870","","9780552097482","The inner landscape","Boy in darkness ; Danger, religion! ; The voices of time","Corgi SF collector's library","","England","London","Corgi","1975","","187 pages, 18 cm","823.91","","Short stories in English, 1900---Texts ; Short stories, English","","English","This collection originally published: London : Allison and Busby, 1969",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","008110984","Monograph","Language material ; Text","Volume","GB6911830","","9780850310054","The inner landscape","","","","England","London","Allison & Busby","1969","","151 pages","823.91","YA.1996.a.1507","Science fiction","","English","Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Aldiss, Brian W. (Brian Wilson), 1925-2017 [person] ; Peake, Mervyn, 1911-1968 [person]","011584454","Monograph","Language material ; Text","Volume","GB7023429","","9780552085007","The inner landscape","Boy in darkness ; Danger: religion! ; Voices of time","","","England","London","Corgi","1970","","190 pages, 18 cm","823.91","","","","English","Contents: Peake, Mervyn. Boy in darkness. Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956. - Ballard, James Graham. The voices of time. - Aldiss, Brian Wilson. Danger: religion! ; Originally published (B56-16737) in 'Sometime never'. London: Eyre & Spottiswoode, 1956 ; Originally published (B69-11830), London: Allison & Busby, 1969",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","823.914","","Science fiction, English ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Evans, Cerith Wyn, 1958---Exhibitions ; Marcel, Didier, 1961---Exhibitions ; Art, Modern--21st century--Exhibitions ; Erlich, Leandro, 1973---Exhibitions ; O'Neil, Amy, 1971---Exhibitions ; Mik, Aernout--Exhibitions ; Curlet, Franc̦ois, 1967---Exhibitions ; Höller, Carsten--Exhibitions ; Barbier, Gilles, 1965---Exhibitions","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Schmidt, Jérôme [person] ; Notéris, Emilie [person]","015118840","Monograph","Language material ; Text","Volume","","","9782915453478","J.G. Ballard : hautes altitudes","","","","France","Alfortville","","2008","","216 pages, illustrations, 19 cm","823.914","YF.2012.a.13231","British Science Fiction Literature--20th Century--Critical Essays ; Ballard, J. G, 1930-2009--Criticism and interpretation","","French","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person] ; Barrado, Ana [person]","013086488","Monograph","Language material ; Text","Volume","GBA505293","","9781889307121","Quotes","","","","United States of America","San Francisco, California","Search","2004","","414 pages, illustrations, 18 cm","828.91402","YK.2007.a.11243","Ballard, J. G, 1930-2009--Quotations","Quotation or maxim","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person]","013086489","Monograph","Language material ; Text","Volume","GBA505294","","9781889307138","Conversations","","","","United States of America","San Francisco, California","Search","2005","","358 pages, illustrations, 18 cm","828.91409","YK.2007.a.4047","Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184351","Monograph","Language material ; Text","Volume","","","","Why I want to fuck Ronald Reagan","","","","England","Brighton","Unison Bookshop","1968","","pages not numbered, 26 cm","","P.C.15.d.17","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184356","Monograph","Language material ; Text","Volume","","","","Later editions of novels by J. G. Ballard, not catalogued separately","","","","","","","1974","","","","X.0908/743","","","","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184357","Monograph","Language material ; Text","Volume","","","9780224618380","The atrocity exhibition","","","","England","London","Jonathan Cape","1970","","156 pages, 20 cm","","Nov.15232","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184358","Monograph","Language material ; Text","Volume","","","9780224009706","Concrete island","","","","England","London","Cape","1974","","176 pages, 21 cm","","Nov.21026","","","","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184359","Monograph","Language material ; Text","Volume","","","9780224007825","Crash","","","","England","London","Cape","1973","","224 pages, 21 cm","","Nov.19842","","","","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184360","Monograph","Language material ; Text","Volume","","","","The crystal world","","","","England","London","Cape","1966","","221 pages, 20 cm","","Nov.7990","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184361","Monograph","Language material ; Text","Volume","","","","The Disaster area","","","","England","London","Jonathan Cape","1967","","205 pages (8°)","","Nov.10841","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184362","Monograph","Language material ; Text","Volume","","","","The Drought","","","","England","London","Jonathan Cape","1965","","252 pages (8°)","","Nov.6538","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184363","Monograph","Language material ; Text","Volume","","","","The Drowned World","","","","England","London","Victor Gollancz","1962","","175 pages (8°)","","Nov.337","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184364","Monograph","Language material ; Text","Volume","","","","The Four-dimensional Nightmare [Short stories.]","","","","England","London","Victor Gollancz","1963","","208 pages (8°)","","11517.p.36","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184365","Monograph","Language material ; Text","Volume","","","","The Four-Dimensional Nightmare","","Penguin Books","number 2345 [Penguin Books]","England","Harmondsworth","Penguin","1965","","222 pages (8°)","","12208.a.1/2345","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184366","Monograph","Language material ; Text","Volume","","","9780575018594","The four-dimensional nightmare","","","","England","London","Gollancz","1974","","197 pages, 21 cm","","X.989/27086","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184367","Monograph","Language material ; Text","Volume","","","","The Overloaded man","","","","England","London","Panther","1967","","158 pages (8°)","","X.907/7860","","","English","Panther book number 2336",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184368","Monograph","Language material ; Text","Volume","","","","The Terminal Beach","","","","England","London","Victor Gollancz","1964","","220 pages (8°)","","Nov.4426","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184369","Monograph","Language material ; Text","Volume","","","","The Terminal beach","","Penguin books","number 2499 [Penguin books]","England","Harmondsworth","Penguin","1966","","223 pages (8°)","","12208.a.1/2499","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184370","Monograph","Language material ; Text","Volume","","","9780575018600","The terminal beach","","","","England","London","Gollancz","1974","","221 pages, 21 cm","","X.989/27085","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184371","Monograph","Language material ; Text","Volume","","","9780224008945","Vermilion Sands","","","","England","London","Cape","1973","","208 pages, 21 cm","","Nov.20445","","","","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184372","Monograph","Language material ; Text","Volume","","","","The voices of time","","Corgi SF collector's library","","","","","","","","","H.75/255","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","000184373","Monograph","Language material ; Text","Volume","","","","The wind from nowhere","","Penguin Science fiction","","England","Harmondsworth","Penguin","1967","","186 pages, 18 cm","","12208.a.1/2591","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","004120252","Monograph","Language material ; Text","Volume","","","","The crystal world","","","","England","London","Panther","1970","","","","H.70/549","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","004120253","Monograph","Language material ; Text","Volume","","","9780586024195","The crystal world. Reprinted","","Panther Science Fiction","","England","London","Panther","1970","","175 pages","","H.71/178","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","006716274","Monograph","Language material ; Text","Volume","GBA1W4933","","9780007124053","The complete short stories","Short stories (Ibadan, Nigeria)","","","England","London","Flamingo","2001","","ix, 1189 pages, 25 cm","823.914","Nov.2001/1758","Great Britain--Social life and customs--20th century--Fiction","Fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","006993769","Monograph","Language material ; Text","Volume","GB6300981","","","The drowned world","","","","United Kingdom","","Gollancz","1962","","175 pages, 21 cm","823.91","","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","006999361","Monograph","Language material ; Text","Volume","GB6307822","","","The four-dimensional nightmare","","","","United Kingdom","","Gollancz","1963","","208 pages, 21 cm","823.91","","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007361952","Monograph","Language material ; Text","Volume","GB7530630","","9780224011686","High-rise","","","","England","London","Cape","1975","","2, 204 pages, 21 cm","823.91","Nov.30822","Fiction in English ; Fiction in English--1900---Texts","Science fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007362054","Monograph","Language material ; Text","Volume","GB7701841","","9780224013116","Low-flying aircraft, and other stories","","","","England","London","Cape","1976","","191 pages, 21 cm","823.91","Nov.33307","Science fiction, English ; Short stories in English--1900---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007362338","Monograph","Language material ; Text","Volume","GB7925384","","9780224017428","The unlimited dream company","","","","England","London","Cape","1979","","223 pages, 21 cm","823.91","Nov.39516","Fiction in English ; Fiction in English--1900---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007362469","Monograph","Language material ; Text","Volume","GB8104296","","9780224019149","Hello America","","","","England","London","Cape","1981","","224 pages, 21 cm","823.91 ; 823.914","Nov.43469","Fiction in English--1945---Texts","Science fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007363243","Monograph","Language material ; Text","Volume","GB8225521","","9780224029360","Myths of the near future","","","","England","London","Cape","1982","","205 pages, 21 cm","823.91 ; 823.914","X.958/12230","Science fiction, English ; Short stories in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007364210","Monograph","Language material ; Text","Volume","GB8421509","","9780224609524","The drought","","","","England","London","Cape","1984","","252 pages, 20 cm","823.914","Nov.52680","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007364211","Monograph","Language material ; Text","Volume","GB8421510","","9780224610445","The crystal world","","","","England","London","Cape","1984","","221 pages, 20 cm","823.914","Nov.52689","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007364214","Monograph","Language material ; Text","Volume","GB8421511","","9780224611886","The disaster area","","","","England","London","Cape","1984","","206 pages, 20 cm","823.914","Nov.52690","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007375120","Monograph","Language material ; Text","Volume","GB8903181","","9780435123420","Empire of the sun","","","","England","","Heinemann","1989","","269 pages","823.914","Nov.1989/991","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007390693","Monograph","Language material ; Text","Volume","GB8325067","","9780460022576","The drowned world","","Everyman fiction","","England","London","Dent","1983","","175 pages, 20 cm","823.914","12206.p.1/1385","Fiction in English--1945---Texts","","English","Originally published: London : Gollancz, 1962",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007390700","Monograph","Language material ; Text","Volume","GB8400816","","9780460022651","The terminal beach","","Everyman fiction","","England","London","Dent","1984","","220 pages, 20 cm","823.914","12206p.1/1393","Fiction in English--1945---Texts","","English","Originally published: London : Gollancz, 1964",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007390701","Monograph","Language material ; Text","Volume","GB8421716","","9780460022668","The voices of time","The four-dimensional nightmare","Everyman fiction","","England","London","Dent","1984","","197 pages, 20 cm","823.914","X.958/25866","Fiction in English--1945---Texts","","English","Originally published: London : Gollancz, 1963",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007390710","Monograph","Language material ; Text","Volume","GB8501473","","9780460022774","Vermilion Sands","","Everyman fiction","","England","London","Dent","1985","","208 pages, 20 cm","823.914","X.958/29260","Fiction in English--1945---Texts","","English","Originally published: London : Cape, 1971",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007452727","Monograph","Language material ; Text","Volume","GB9335112","","9781857990003","The voices of time","","","","England","London","Orion","1992","","197 pages","823.914","H.93/2487","English fiction--Short stories","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007452730","Monograph","Language material ; Text","Volume","GB9337132","","9781857990058","Vermilion sands","","","","England","","Phoenix","1992","","208 pages","823.914","H.93/2658","English fiction--Short stories","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007452739","Monograph","Language material ; Text","Volume","GB9406030","","9781857990263","The drowned world","","","","England","London","Phoenix","1993","","175 pages","823.914","H.94/2646","English fiction--20th century","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007669877","Monograph","Language material ; Text","Volume","GB6412914","","","The terminal beach","","","","United Kingdom","","Gollancz","1964","","221 pages, 21 cm","823.91","","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007681093","Monograph","Language material ; Text","Volume","GB7415563","","9780140022292","The drowned world","","Science fiction","","England","Harmondsworth","Penguin","1974","","171 pages, 18 cm","823.91","","Fiction in English, 1900---Texts","","English","Originally published: New York : Berkley, 1962 ; London : Gollancz, 1963",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007681118","Monograph","Language material ; Text","Volume","GB7415660","","9780140024999","The terminal beach","","Science fiction","","England","Harmondsworth","Penguin","1974","","224 pages, 18 cm","823.91","","Short stories in English, 1900---Texts ; Short stories, English","","English","This collection originally published: London : Gollancz, 1964",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007681133","Monograph","Language material ; Text","Volume","GB7415564","","9780140025910","The wind from nowhere","","Science fiction","","England","Harmondsworth","Penguin","1974","","186 pages, 18 cm","823.91","","Fiction in English, 1900---Texts","","English","Originally published: U.S.A. : [s.n.], 1962 ; Harmondsworth : Penguin, 1967",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007681141","Monograph","Language material ; Text","Volume","GB7415562","","9780140027532","The drought","","Science fiction","","England","Harmondsworth","Penguin","1974","","176 pages, 18 cm","823.91","","Fiction in English, 1900---Texts","","English","Originally published: London : Cape, 1965",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007687914","Monograph","Language material ; Text","Volume","GB7316846","","9780224007825","Crash","","","","England","London","Cape","1973","","224 pages, 21 cm","823.91","","Fiction in English, 1900---Texts ; Traffic accidents--Fiction ; Obsessive-compulsive disorder--Fiction ; Male friendship--Fiction ; Women--Crimes against--Fiction ; Traffic accident victims--Fiction","Fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007687992","Monograph","Language material ; Text","Volume","GB7330403","","9780224008945","Vermilion Sands","","","","England","London","Cape","1973","","208 pages, 21 cm","823.91","","Science fiction, English ; Short stories in English, 1900---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007688047","Monograph","Language material ; Text","Volume","GB7409901","","9780224009706","Concrete island","","","","England","London","Cape","1974","","176 pages, 21 cm","823.91","75/7540","Fiction in English, 1900---Texts","Science fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007734311","Monograph","Language material ; Text","Volume","GB99X5482","","9781857988833","The drowned world","","","","England","London","Millennium","1999","","176 pages, 20 cm","823.914","","","","English","Originally published: London: Gollancz, 1962",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","007741967","Monograph","Language material ; Text","Volume","GB9152763","","9780002237703","War fever","","","","England","","Paladin","1991","","176 pages","823.914","","English fiction--Short stories","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008339213","Monograph","Language material ; Text","Volume","GB6509466","","","The drought","","","","United Kingdom","","Cape","1965","","252 pages, 20 cm","823.91","","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008378557","Monograph","Language material ; Text","Volume","GBA0Y3997","","9780002258470","Super-Cannes","","","","England","London","Flamingo","2000","","400 pages, 22 cm","823.914","","","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008379771","Monograph","Language material ; Text","Volume","GB97X8133","","9780006550648","Cocaine nights","","","","England","London","Flamingo","1997","","336 pages, 20 cm","823.914","","Spain--Fiction","","English","Originally published: 1996",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008379820","Monograph","Language material ; Text","Volume","GBA1X7741","","9780006551607","Super-Cannes","","","","England","London","Harper Perennial","2001","","400 pages, 20 cm","823.914","","British--France--Fiction","Fiction","English","Originally published: 2000",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008380865","Monograph","Language material ; Text","Volume","GBA2V6167","","9780007138128","The complete short stories","","","","England","London","Flamingo","2002","","1200 pages, 22 cm","823.914","","","","English","Originally published: 2001",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008588279","Monograph","Language material ; Text","Volume","","","9780940642188 ; 9780940642195","The atrocity exhibition","","","","United States of America","San Francisco, California","Search Publications","1990","Revised, expanded, annotated, illustrated edition","127 pages, illustrations, 28 cm","","YA.1997.b.3784","Atrocities--Fiction ; Civilization, Modern--Fiction","Fantasy","English","Previous edition: London : Cape, 1970",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008718046","Monograph","Language material ; Text","Volume","GB9026534","","9780002237703","War fever","","","","England","","Collins","1990","","224 pages","823.914","YC.1990.b.7325","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008718047","Monograph","Language material ; Text","Volume","GB9116791","","9780002237710","The kindness of women","","","","England","","HarperCollins","1991","","288 pages","823.914","NOV.1991/1644","English fiction","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008718235","Monograph","Language material ; Text","Volume","GB9467796","","9780002241342","Rushing to paradise","","","","England","London","Flamingo","1994","","238 pages","823.914","Nov.1994/1848","English fiction","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008718236","Monograph","Language material ; Text","Volume","GB96X8951","","9780002241359","Cocaine nights","","","","England","London","Flamingo","1996","","328 pages, 23 cm","823.914","Nov.1997/400","British--Spain--Costa del Sol--Fiction ; Retirees--Spain--Costa del Sol--Fiction ; Murder--Spain--Costa del Sol--Fiction","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","008718766","Monograph","Language material ; Text","Volume","GBA368053","","9780002258487","Millennium people","","","","England","London","Flamingo","2003","","294 pages, 23 cm","823.914","Nov.2004/174","Political violence--Great Britain--Fiction ; Social change--Great Britain--Fiction ; Middle class--Great Britain--Fiction","Fiction","English","",""
