"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Arts, English--20th century","general term","018677669","Monograph","Language material ; Text","Volume","","","","","","","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Atrocities--Fiction","general term","008588279","Monograph","Language material ; Text","Volume","","","9780940642188 ; 9780940642195","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","United States of America","San Francisco, California","Search Publications","1990","Revised, expanded, annotated, illustrated edition","127 pages, illustrations, 28 cm","","YA.1997.b.3784","Fantasy","English","Previous edition: London : Cape, 1970",""
"Authors, English--20th century--Interviews","general term","016536302","Monograph","Language material ; Text","Volume","GBB3A0613","","9780007454860","Ballard, J. G.","1930-2009","person","author","O'Hara, Daniel Finbarr John, 1972-, editor [person] ; Ballard, J. G., 1930-2009, author [person] ; Sellars, Simon, editor [person]","Extreme metaphors : selected interviews with J.G. Ballard, 1967-2008","Works. Selections","","","England","London","Fourth Estate","2014","","503 pages, 20 cm","823.914","","Interview","English","Includes index ; Originally published: 2012",""
"BIOGRAPHY & AUTOBIOGRAPHY / Literary","general term","019229217","Monograph","Language material ; Text","Volume","","","9780252041433 ; 9780252082955","Wilson, D. Harlan","","person","author","Wilson, D. Harlan, author [person]","J. G. Ballard","","Modern masters of science fiction","","United States of America","Urbana","University of Illinois Press","2017","","x, 197 pages, 24 cm","823.914","YD.2019.a.541","","English","Additional physical form: Wilson, D. Harlan, author. Online version. J. G. Ballard. Urbana : University of Illinois Press, 2017. 9780252050039",""
"Ballard, J. G, 1930-2009","person","008800192","Monograph","Language material ; Text","Volume","GBA058281","","9780853238218","Luckhurst, Roger","","person","","Luckhurst, Roger [person]","The angle between two walls : the fiction of J.G. Ballard","","Liverpool science fiction texts and studies","11 [Liverpool science fiction texts and studies]","England","Liverpool","Liverpool University Press","1997","","xix, 213 pages, 25 cm","823.914","YC.2000.a.10077","","English","",""
"Ballard, J. G, 1930-2009","person","010643770","Monograph","Language material ; Text","Volume","","","","Grove, Alan P.","","person","","Grove, Alan P. [person]","Internal landscapes","","","","England","Oxford","Oxford Polytechnic","","","28 pages, illustrations","","YA.1991.a.16148","","English","",""
"Ballard, J. G, 1930-2009","person","014100194","Monograph","Language material ; Text","Volume","GBA783546","","9780007270729","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Fourth Estate","2008","","viii, 278 pages, illustrations, 23 cm","823.914","YK.2008.a.16774","Biography","English","",""
"Ballard, J. G, 1930-2009","person","014546503","Monograph","Language material ; Text","Volume","GBA983368","","9780955613401","Harper, Andy","","person","","Harper, Andy [person]","The ballad of Mistah Bones","","","","England","London","Frost & Reed Contemporary","2007","","24 pages, chielfly colour illustrations, 25 cm","759.2","YK.2009.b.5864","","English","",""
"Ballard, J. G, 1930-2009","person","014632838","Monograph","Language material ; Text","Volume","GBA872796","","9780007272341","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Harper Perennial","2008","","278 pages, illustrations, portraits, 20 cm","823.914","","Biography","English","Originally published: London : Fourth Estate, 2008",""
"Ballard, J. G, 1930-2009","person","014746785","Monograph","Language material ; Text","Volume","GBB057064","","9780955575310","Roberts, Arthur","","person","critic","Roberts, Arthur, critic [person]","Empire of the sun, J.G. Ballard","","EK passport study notes","","England","Leeds","EK Press","2008","","116 pages, 21 cm","823.914","YK.2010.a.14655","","English","paperback",""
"Ballard, J. G, 1930-2009","person","014782993","Monograph","Language material ; Text","Volume","GBA8C1396","","9780753195246","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","Oxford","ISIS","2009","Large print edition","249 pages (large print), 25 cm","823.914","LT.2009.x.390","Biography","English","Originally published: London: Fourth Estate, 2008",""
"Ballard, J. G, 1930-2009","person","015813334","Monograph","Language material ; Text","Volume","GBB161703","","9780297863526","Baxter, John","1939-","person","","Baxter, John, 1939- [person]","The inner man : the life of J.G. Ballard","","","","England","London","Weidenfeld & Nicolson","2011","","377 pages, 16 pages of plates, illustrations (some colour), portraits (some colour), 24 cm","823.914","YK.2012.a.13855","Biography","English","",""
"Ballard, J. G, 1930-2009","person","016062793","Monograph","Language material ; Text","Volume","GBB233469","","9780297863533 ; 9780753828892","Baxter, John","1939-","person","","Baxter, John, 1939- [person]","The inner man : the life of J.G. Ballard","","","","England","London","Phoenix","2012","","1 volume, illustrations (some colour), 20 cm","823.914","","Biography","English","Originally published: London: Weidenfeld & Nicolson, 2011",""
"Ballard, J. G, 1930-2009","person","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Ballard, J. G, 1930-2009","person","019034403","Monograph","Language material ; Text","Volume","GBB907203","","9781476664668","Heffernan, Niall","1977-","person","author","Heffernan, Niall, 1977-, author [person]","In the shadow of the bomb : the legacy of the Cold War in Dr. Strangelove, End Zone, Crash and The Wire","","","","United States of America","Jefferson, North Carolina","McFarland","2018","","vii, 201 pages, 23 cm","320.510973","YC.2019.a.592","","English","",""
"Ballard, J. G, 1930-2009","person","019388553","Monograph","Language material ; Text","Online resource","GBB986875","","9781282875401 ; 9781441163622","","","","","Baxter, Jeannette [person]","J.G. Ballard","Death at work : the cinematic imagination of J.G. Ballard ; Disquieting features : an introductory tour of The atrocity exhibition ; From Shanghai to Shepperton : crises of representation in J.G. Ballard's Londons ; J.G. Ballard and the contemporary ; Mind is the battlefield : reading Ballard's 'Life trilogy' as war literature ; Situating the violence of J.G. Ballard's postmillennial fiction : the possibilities of sacrifice, the certainties of trauma ; The Gothic, the body, and the failed homeopathy argument : reading Crash ; The geometry of the space age : J.G. Ballard's short fiction and science fiction of the 1960s ; Visions of Europe in Cocaine nights and Super-Cannes","Contemporary critical perspectives","","England ; United States of America","London ; New York","Continuum","2008","","1 online resource (xvii, 151 pages)","823.914","ELD.DS.416813","Aufsatzsammlung ; Criticsm and interpretation","English","",""
"Ballard, J. G, 1930-2009","person","019934373","Monograph","Language material ; Text","Online resource","GBC0E5781","","9781838715168","Sinclair, Iain","","person","","British Film Institute [organisation] ; Sinclair, Iain [person]","Crash : David Cronenberg's post-mortem on J.G. Ballard's 'Trajectory of fate'","Atrocity Exhibitions -- ; Cronenberg's Crash -- ; J.G. Ballard and James Ballard -- ; Liquid Mirror: Ballard Dissolves to Cronenberg -- ; Novel as Audition Piece -- ; The Other Crash Films -- ; The Trajectory of Fate ; White Nights on the Bauhaus Balcony --","BFI modern classics","","England ; United Kingdom","London","British Film Institute","2019","","1 online resource (112 pages)","791.4372","ELD.DS.550757","Criticsm and interpretation","English","",""
"Ballard, J. G, 1930-2009--Bibliography","person","008440229","Monograph","Language material ; Text","Volume","","","9780816186037","Pringle, David","","person","","Pringle, David [person]","J.G. Ballard : a primary and secondary bibliography","","Masters of science fiction and fantasy","","United States of America","Boston, Massachusetts","G.K. Hall","1984","","","016.823914","85/21767","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","005701239","Monographic component part","Language material ; Text","Volume","","","9780916732837 ; 9780916732844","Brigg, Peter","","person","","Brigg, Peter [person]","J.G. Ballard","","","","United States of America","Mercer Island, Washington","Starmont House","1985","","","823.914","8436.050000","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","006357599","Monographic component part","Language material ; Text","Volume","","","9780853238218 ; 9780853238317","Luckhurst, Roger","","person","","Luckhurst, Roger [person]","'The angle between two walls' : the fiction of J.G. Ballard","","Liverpool science fiction texts and studies","11 [Liverpool science fiction texts and studies]","England","Liverpool","Liverpool University Press","1997","","xix, 213 pages, illustrations, 1 facsimile, 24 cm","823.914","5281.187700","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","006742115","Monograph","Language material ; Text","Volume","GB7633565","","9780905220031 ; 9780905220048","","","","","Gregory, Carol [person] ; Ballard, J. G., 1930-2009 [person] ; Pringle, David, 1950- [person] ; Goddard, James [person]","J.G. Ballard, the first twenty years","","","","England","Hayes ; Wimborne Ave, Hayes, Middlesex","Bran's Head","1976","","10, 76, 24 pages, illustrations, 1 portrait, 22 cm","823.914","X.989/51000","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","010082698","Monograph","Language material ; Text","Volume","GB98V4695","","9780746308677","Delville, Michel","1969-","person","","British Council [organisation] ; Delville, Michel, 1969- [person]","Ballard, J.G","","Writers and their work","","England","Plymouth","British Council ; Northcote House","1998","","x, 102 pages, 1 portrait, 22 cm","823.914","YC.1999.a.1206 ; m03/20033","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","010129072","Monograph","Language material ; Text","Volume","GB9735426","","9780965046978","","","","","Juno, Andrea [person] ; Vale, Vivian [person]","J. G. Ballard","","RE/Search","number 8/9 [RE/Search]","England","Enfield ; San Francisco, California","Airlift ; Search Publications","1984","","171 pages, illustrations, portraits, 28 cm","823.914","YA.1997.b.3427","","English","Cover title ; bibliography: p166-171. _ Includes index",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","012013536","Monograph","Language material ; Text","Volume","","","9780893701383 ; 9780893702380","Pringle, David","","person","","Pringle, David [person]","Earth is the alien planet : J. G. Ballard's four-dimensional nightmare","","Popular writers of today ; The Milford series","volume 26 [Popular writers of today]","United States of America","San Bernardino, California","Borgo Press","1979","","63 pages, illustrations, 22 cm","823.914","6551.700000 ; YA.1986.a.2170","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","013124861","Monograph","Language material ; Text","Volume","GBA518665","","9780719070525 ; 9780719070532","Gąsiorek, Andrzej","1960-","person","","Gąsiorek, Andrzej, 1960- [person]","J.G. Ballard","","Contemporary British novelists","","England","Manchester","Manchester University Press","2005","","228 pages, 23 cm","823.914","YC.2006.a.20620 ; m05/.29582","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","014708430","Monograph","Language material ; Text","Volume","GBA8A5764","","9780826497253 ; 9780826497260","","","","","Baxter, Jeannette [person]","J.G. Ballard","","Contemporary critical perspectives","","England","London","Continuum","2008","","xvii, 151 pages, 25 cm","823.914","YC.2010.a.8207 ; m11/.11306","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","014771483","Monograph","Language material ; Text","Volume","GBA8B6288","","9780754662679","Baxter, Jeannette","","person","","Baxter, Jeannette [person]","J.G. Ballard's surrealist imagination : spectacular authorship","","","","England","Farnham","Ashgate","2009","","xi, 243 pages, illustrations, 24 cm","823.914","YC.2009.a.8685 ; m09/.25321","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","015118840","Monograph","Language material ; Text","Volume","","","9782915453478","","","","","Ballard, J. G., 1930-2009 [person] ; Schmidt, Jérôme [person] ; Notéris, Emilie [person]","J.G. Ballard : hautes altitudes","","","","France","Alfortville","","2008","","216 pages, illustrations, 19 cm","823.914","YF.2012.a.13231","","French","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","015813207","Monograph","Language material ; Text","Volume","GBB161576","","9780230278127","","","","","Baxter, Jeannette [person] ; Wymer, Rowland [person]","J.G. Ballard : visions and revisions","","","","England","Basingstoke","Palgrave Macmillan","2012","","x, 255 pages, 23 cm","823.914","YC.2013.a.7839","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","015830574","Monograph","Language material ; Text","Volume","GBB175330","","9781441161956","Francis, Samuel T.","","person","","Francis, Samuel T. [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","823.914","YC.2011.a.17050","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","015894677","Monograph","Language material ; Text","Volume","GBB1B0350","","9780415500623","Greenland, Colin","1954-","person","","Greenland, Colin, 1954- [person]","The entropy exhibition : Michael Moorcock and the British 'New Wave' in science fiction","","Routledge revivals","","England","London","Routledge","2011","","244 pages, 22 cm","823.087609","","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","016224910","Monograph","Language material ; Text","Volume","GBB2C2183","","9780415519946","Greenland, Colin","1954-","person","","Greenland, Colin, 1954- [person]","Entropy exhibition : Michael Moorcock and the British 'New Wave' in science fiction","","Routledge revivals","","England","London","Routledge","2013","","1 volume, 22 cm","823.087609","","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","","","","","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","823.914","","Interview","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","016421208","Monograph","Language material ; Text","Volume","GBB5G7481","","9781472513038","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","823.914","","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","016470028","Monograph","Language material ; Text","Volume","","","9782877755337","Kraitsowits, Stephan","","person","","Kraitsowits, Stephan [person]","J.G. Ballard : inventer la réalité","","","","France","Mont-Saint-Aignan","des universités de Rouen & du Havre","2011","","212 pages, 21 cm","823","YF.2013.a.16977","","French","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","017534390","Monograph","Language material ; Still image ; Text","Volume","GBB5C2188","","9781780240183","Paddy, David Ian","","person","author","Paddy, David Ian, author [person]","The empires of J.G. Ballard : an imagined geography","","SF storyworlds","2 [SF storyworlds]","England","Canterbury","Gylphi","2015","","ix, 366 pages, illustrations, 22 cm","823.914","YC.2016.a.5391","","English","'A Gylphi Limited book' ; Additional physical form: ebook version. 9781780240206",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","017535047","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook ; Kindle ebook)","GBB5C2844","","9781780240190 ; 9781780240206","Paddy, David Ian","","person","author","Paddy, David Ian, author [person]","The empires of J.G. Ballard : an imagined geography","","SF storyworlds","2 [SF storyworlds]","England","Canterbury","Gylphi","2015","","1 online resource, illustrations","823.914","","","English","Additional physical form: Print version. 9781780240183",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","017969260","Monograph","Language material ; Text","Volume","GBB6B0529","","9789004313859","","","","","Stainforth, Elizabeth, 1986-, editor [person] ; Brown, Richard, 1954-, editor [person] ; Duffy, Christopher, 1977-, editor [person]","J. G. Ballard : landscapes of tomorrow","","Dialogue","22 [Dialogue]","Netherlands","Boston ; Leiden","Brill","2016","","x, 160 pages, colour illustrations, 25 cm","823.914","YD.2016.a.2770","","English","Additional physical form: Online version. J. G. Ballard. Leiden ; Boston : Brill, [2016]. 9789004313866",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","018137848","Monograph","Language material ; Text","Online resource","GBB7J7739","","9781351925815","Baxter, Jeannette","","person","","Baxter, Jeannette [person]","J.G. Ballard's surrealist imagination : spectacular authorship","","","","","","Routledge","2016","","1 online resource (256 pages)","823.914","ELD.DS.104082","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","018831946","Monograph","Language material ; Text","Online resource (ebook)","GBB869133","","9780252050039","Wilson, D. Harlan","","person","author","Wilson, D. Harlan, author [person]","J.G. Ballard","","Modern masters of science fiction","","United States of America","Urbana","University of Illinois Press","2018","","1 online resource","823.914","","","English","Additional physical form: Print version. 9780252041433 ; Previously issued in print: 2017",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"Ballard, J. G, 1930-2009--Criticism and interpretation","person","019229217","Monograph","Language material ; Text","Volume","","","9780252041433 ; 9780252082955","Wilson, D. Harlan","","person","author","Wilson, D. Harlan, author [person]","J. G. Ballard","","Modern masters of science fiction","","United States of America","Urbana","University of Illinois Press","2017","","x, 197 pages, 24 cm","823.914","YD.2019.a.541","","English","Additional physical form: Wilson, D. Harlan, author. Online version. J. G. Ballard. Urbana : University of Illinois Press, 2017. 9780252050039",""
