"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.914","017808221","Monograph","Language material ; Text","Volume","GBB7B6597","","9781784870997","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Vermilion sands","Short stories. Selections","","","England","London","Vintage","2016","","208 pages, 18 cm + 1 sheet of acetate","YKL.2017.a.9684","Dystopias--Fiction","Fiction","English","Includes 1 sheet of acetate which animates cover art, attached to inside front cover ; Originally published: Great Britain: Jonathan Cape, 1973",""
"823.914","017847370","Monograph","Language material ; Text","Online resource","GBB6F6382","","9780007382910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","Australia","Sydney","Fourth Estate","2014","","1 online resource","ELD.DS.60012","High-rise apartment buildings--Social aspects--Fiction ; Regression (Psychology)--Fiction ; Fiction--General ; Fiction in English","Fiction","English","Fiction",""
"823.914","017969260","Monograph","Language material ; Text","Volume","GBB6B0529","","9789004313859","","","","","Stainforth, Elizabeth, 1986-, editor [person] ; Brown, Richard, 1954-, editor [person] ; Duffy, Christopher, 1977-, editor [person]","J. G. Ballard : landscapes of tomorrow","","Dialogue","22 [Dialogue]","Netherlands","Boston ; Leiden","Brill","2016","","x, 160 pages, colour illustrations, 25 cm","YD.2016.a.2770","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Additional physical form: Online version. J. G. Ballard. Leiden ; Boston : Brill, [2016]. 9789004313866",""
"823.914","018137848","Monograph","Language material ; Text","Online resource","GBB7J7739","","9781351925815","Baxter, Jeannette","","person","","Baxter, Jeannette [person]","J.G. Ballard's surrealist imagination : spectacular authorship","","","","","","Routledge","2016","","1 online resource (256 pages)","ELD.DS.104082","Surrealism (Literature) ; Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"823.914","018263881","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB745514","","9780008257316","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Beckett, Chris, 1955-, editor [person]","Crash","","","","England","London","4th Estate","2017","Epub edition","1 online resource","ELD.DS.137742","Fiction and related items / Modern and contemporary fiction (post c. 1945) ; Fiction--Literary ; FICTION--Literary","","English","Additional physical form: Print version. 9780007287024 ; Previously issued in print: London: Jonathan Cape, 1973",""
"823.914","018277852","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB756979","","9780007513628","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","The disaster area","","","","England","London","Collins Flamingo","2017","EPub edition","1 online resource","ELD.DS.295941","Fiction and related items / Fiction: special features / Short stories ; FICTION / Short Stories (single author) ; FICTION / Medical","","English","",""
"823.914","018394316","Monograph","Language material ; Still image ; Text","Volume","GBB7F6365","","","Ballard, J. G.","1930-2009","person","author","Laing, Tim, illustrator [person] ; Ballard, J. G., 1930-2009, author [person] ; Boyd, William, 1952-, writer [person] ; Folio Society (London, England) [organisation]","Empire of the sun","","","","England","London","Folio Society","2017","","xiv, 278 pages, 4 leaves of plates, black and white illustrations, 1 map (black and white), 25 cm","Nov.2017/2094","","","English","'The text of this edition follows that of the first edition, with minor emendations'--Title page verso ; In slipcase ; Originally published: London : Victor Gollancz, 1984",""
"823.914","018511696","Monograph","Language material ; Text","Online resource","GBB7H3224","","9781446420041","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion Sands","","","","England ; United Kingdom","London","Vintage Digital","2010","","1 online resource (208 pages)","ELD.DS.183677","FICTION / Short Stories (single author) ; Fiction","","English","",""
"823.914","018831946","Monograph","Language material ; Text","Online resource (ebook)","GBB869133","","9780252050039","Wilson, D. Harlan","","person","author","Wilson, D. Harlan, author [person]","J.G. Ballard","","Modern masters of science fiction","","United States of America","Urbana","University of Illinois Press","2018","","1 online resource","","Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Additional physical form: Print version. 9780252041433 ; Previously issued in print: 2017",""
"823.914","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","ELD.DS.278199","English fiction--20th century--History and criticism ; English fiction--21st century--History and criticism ; Literary Criticism--General ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Literary studies: from c 1900 ; Literary studies: fiction, novelists & prose writers ; Psychological fiction, English--History and criticism","","English","",""
"823.914","019229217","Monograph","Language material ; Text","Volume","","","9780252041433 ; 9780252082955","Wilson, D. Harlan","","person","author","Wilson, D. Harlan, author [person]","J. G. Ballard","","Modern masters of science fiction","","United States of America","Urbana","University of Illinois Press","2017","","x, 197 pages, 24 cm","YD.2019.a.541","BIOGRAPHY & AUTOBIOGRAPHY / Literary ; LITERARY CRITICISM / Science Fiction & Fantasy ; Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Additional physical form: Wilson, D. Harlan, author. Online version. J. G. Ballard. Urbana : University of Illinois Press, 2017. 9780252050039",""
"823.914","019242235","Monograph","Language material ; Text","Volume","GBB922829","","9780008329754","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Empire of the sun","","4th Estate matchbook classics","","England","London","4th Estate","2019","","1 volume, 20 cm","","Shanghai (China)--Fiction ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"823.914","019388553","Monograph","Language material ; Text","Online resource","GBB986875","","9781282875401 ; 9781441163622","","","","","Baxter, Jeannette [person]","J.G. Ballard","Death at work : the cinematic imagination of J.G. Ballard ; Disquieting features : an introductory tour of The atrocity exhibition ; From Shanghai to Shepperton : crises of representation in J.G. Ballard's Londons ; J.G. Ballard and the contemporary ; Mind is the battlefield : reading Ballard's 'Life trilogy' as war literature ; Situating the violence of J.G. Ballard's postmillennial fiction : the possibilities of sacrifice, the certainties of trauma ; The Gothic, the body, and the failed homeopathy argument : reading Crash ; The geometry of the space age : J.G. Ballard's short fiction and science fiction of the 1960s ; Visions of Europe in Cocaine nights and Super-Cannes","Contemporary critical perspectives","","England ; United States of America","London ; New York","Continuum","2008","","1 online resource (xvii, 151 pages)","ELD.DS.416813","Ballard, J. G, 1930-2009 ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Ballard, James G ; Ballard, J. G, 1930-2009--Criticism and interpretation","Aufsatzsammlung ; Criticsm and interpretation","English","",""
"823.92","014624379","Monograph","Language material ; Text","Volume","GBA877098","","9780586089958","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The Unlimited Dream Company","","","","England","London","HarperPerennial","2008","","220, 16 pages, 20 cm","H.2008/2534","Fiction in English","Fantasy","English","Includes 16 p. interview section ; Originally published by Jonathan Cape, 1979",""
"823.92","014624400","Monograph","Language material ; Text","Volume","GBA877101","","9780586089965","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","London","HarperPerennial","2008","","232, 12 pages, 21 cm","H.2008/2535","","Fantasy","English","Includes 12 p. notes section ; Originally published : Jonathan Cape, 1965",""
"824.914","008720158","Monograph","Language material ; Text","Volume","GB9607631","","9780002555524","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","A user's guide to the millennium : essays and reviews","","","","England","London","HarperCollins","1996","","304 pages, 24 cm","96/07398 ; YK.1996.b.1967","English prose--Essays ; Civilization, Modern--20th century","","English","",""
"824.914","016659433","Monograph","Language material ; Text","Volume","","","9780312144401","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","A user's guide to the millennium : essays and reviews","Essays. Selections","","","United States of America","New York","Picador USA","1996","First Picador USA edition","304 pages, 22 cm","YD.2014.a.1227","","","English","Includes index ; Originally published: Great Britain : HarperCollinsPublishers. 1996",""
"828.91402","013086488","Monograph","Language material ; Text","Volume","GBA505293","","9781889307121","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person] ; Barrado, Ana [person]","Quotes","","","","United States of America","San Francisco, California","Search","2004","","414 pages, illustrations, 18 cm","YK.2007.a.11243","Ballard, J. G, 1930-2009--Quotations","Quotation or maxim","English","",""
"828.91409","013086489","Monograph","Language material ; Text","Volume","GBA505294","","9781889307138","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person]","Conversations","","","","United States of America","San Francisco, California","Search","2005","","358 pages, illustrations, 18 cm","YK.2007.a.4047","Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
